,0,1,2,3,4,5
2021-04-16,42,525,497,448,378,308
2021-04-17,42,518,497,448,378,308
2021-04-18,42,518,490,448,378,308
2021-04-19,35,511,490,441,371,301
2021-04-20,35,504,483,434,364,287
2021-04-21,35,490,483,434,364,280
2021-04-22,35,483,476,427,357,280
2021-04-23,35,483,469,420,357,280
2021-04-24,35,476,469,420,357,280
2021-04-25,35,476,462,420,357,280
2021-04-26,35,469,462,413,350,273
2021-04-27,35,462,462,406,343,273
2021-04-28,35,462,455,399,336,273
2021-04-29,35,455,448,385,329,266
2021-04-30,35,455,448,385,329,266
2021-05-01,35,448,448,378,329,266
2021-05-02,35,448,441,378,329,266
2021-05-03,35,448,441,378,329,266
2021-05-04,35,448,441,378,329,266
2021-05-05,35,448,441,378,322,266
2021-05-06,35,441,441,378,322,259
2021-05-07,35,434,434,371,322,252
2021-05-08,35,434,434,371,322,252
2021-05-09,35,434,434,371,322,252
2021-05-10,35,434,427,364,315,252
2021-05-11,35,434,427,364,315,252
2021-05-12,35,434,420,364,308,252
2021-05-13,35,427,420,357,308,252
2021-05-14,35,420,413,357,301,245
2021-05-15,35,420,413,357,301,245
2021-05-16,35,420,413,357,301,245
2021-05-17,35,413,413,357,301,245
2021-05-18,35,406,406,350,294,238
2021-05-19,35,406,406,350,294,238
total,1519,19712,22071,23583,21791,19061
