,F,M
2020-11-28,77,28
2020-11-29,84,28
2020-11-30,91,42
2020-12-01,168,105
2020-12-02,175,112
2020-12-03,182,112
2020-12-04,196,112
2020-12-05,196,119
2020-12-06,196,119
2020-12-07,217,126
2020-12-08,1379,1134
2020-12-09,3192,2681
2020-12-10,5775,4900
2020-12-11,8407,7077
2020-12-12,10143,8505
2020-12-13,11088,9282
2020-12-14,14000,11704
2020-12-15,38332,33733
2020-12-16,81767,71281
2020-12-17,123956,105756
2020-12-18,155659,131810
2020-12-19,195398,164262
2020-12-20,226170,188888
2020-12-21,246456,204561
2020-12-22,280154,232421
2020-12-23,308112,254793
2020-12-24,315483,260274
2020-12-25,315532,260302
2020-12-26,315623,260365
2020-12-27,315938,260540
2020-12-28,316666,261002
2020-12-29,329637,270480
2020-12-30,366492,295295
2020-12-31,394261,313775
2021-01-01,401058,318360
2021-01-02,408786,324191
2021-01-03,411124,325794
2021-01-04,414036,327684
2021-01-05,423073,333536
2021-01-06,440902,345779
2021-01-07,509327,397712
2021-01-08,599872,464128
2021-01-09,677677,519967
2021-01-10,710794,544145
2021-01-11,737030,561799
2021-01-12,790034,598437
2021-01-13,878843,663866
2021-01-14,981596,739508
2021-01-15,1103627,829052
2021-01-16,1214626,909013
2021-01-17,1262219,944328
2021-01-18,1302462,972230
2021-01-19,1413769,1059191
2021-01-20,1530711,1150002
2021-01-21,1665153,1255646
2021-01-22,1852270,1403318
2021-01-23,2039688,1552936
2021-01-24,2106685,1608796
2021-01-25,2169139,1659952
2021-01-26,2245124,1721349
2021-01-27,2321739,1783117
2021-01-28,2443966,1887725
2021-01-29,2628409,2048270
2021-01-30,2811186,2204972
2021-01-31,2914562,2296854
2021-02-01,3011701,2383367
2021-02-02,3119417,2480247
2021-02-03,3249820,2597840
2021-02-04,3387111,2723021
2021-02-05,3526432,2848783
2021-02-06,3687873,2992444
2021-02-07,3764817,3062920
2021-02-08,3847109,3138359
2021-02-09,3952956,3235834
2021-02-10,4067560,3341212
2021-02-11,4200889,3464902
2021-02-12,4341225,3594010
2021-02-13,4479818,3720535
2021-02-14,4531499,3768569
2021-02-15,4589529,3822364
2021-02-16,4661181,3890684
2021-02-17,4735941,3962406
2021-02-18,4799942,4023159
2021-02-19,4845155,4066531
2021-02-20,4883851,4103148
2021-02-21,4897431,4116462
2021-02-22,4917444,4136146
2021-02-23,4942672,4159897
2021-02-24,4974424,4189262
2021-02-25,5006610,4218753
2021-02-26,5035646,4245619
2021-02-27,5055449,4263868
2021-02-28,5064367,4272261
2021-03-01,5072837,4279968
2021-03-02,5082161,4288389
2021-03-03,5093123,4297944
2021-03-04,5107025,4310180
2021-03-05,5122005,4323340
2021-03-06,5133814,4334190
2021-03-07,5136957,4337109
2021-03-08,5143180,4342989
2021-03-09,5149550,4348701
2021-03-10,5155927,4354280
2021-03-11,5162094,4359747
2021-03-12,5169283,4366537
2021-03-13,5176906,4373782
2021-03-14,5180427,4377317
2021-03-15,5186027,4382686
2021-03-16,5191585,4387796
2021-03-17,5196401,4392381
2021-03-18,5201560,4397078
2021-03-19,5206362,4401719
2021-03-20,5210863,4406164
2021-03-21,5212340,4407816
2021-03-22,5215049,4410441
2021-03-23,5218381,4413493
2021-03-24,5221636,4416538
2021-03-25,5225171,4419835
2021-03-26,5228426,4422803
2021-03-27,5231485,4425750
2021-03-28,5232780,4426982
2021-03-29,5234957,4429040
2021-03-30,5237316,4431259
2021-03-31,5239878,4433541
2021-04-01,5241810,4435193
2021-04-02,5242545,4435865
2021-04-03,5243329,4436544
2021-04-04,5243553,4436796
2021-04-05,5243742,4437006
2021-04-06,5244848,4438000
2021-04-07,5246346,4439330
2021-04-08,5247858,4440632
2021-04-09,5249454,4442039
2021-04-10,5250581,4443117
2021-04-11,5251078,4443544
2021-04-12,5251960,4444307
2021-04-13,5252961,4445210
2021-04-14,5254004,4446106
2021-04-15,5255068,4447086
2021-04-16,5256258,4448164
2021-04-17,5256993,4448773
2021-04-18,5257273,4449039
2021-04-19,5257903,4449613
2021-04-20,5258729,4450320
2021-04-21,5259590,4451083
2021-04-22,5260472,4451902
2021-04-23,5261431,4452721
2021-04-24,5262040,4453260
2021-04-25,5262327,4453554
2021-04-26,5262950,4454107
2021-04-27,5263657,4454744
2021-04-28,5264434,4455402
2021-04-29,5265190,4456151
2021-04-30,5265988,4456865
2021-05-01,5266359,4457271
2021-05-02,5266534,4457411
2021-05-03,5266681,4457558
2021-05-04,5267143,4457936
2021-05-05,5267745,4458503
2021-05-06,5268382,4459105
2021-05-07,5269061,4459665
2021-05-08,5269516,4460057
2021-05-09,5269712,4460239
2021-05-10,5270174,4460589
2021-05-11,5270888,4461212
2021-05-12,5271637,4461828
2021-05-13,5272414,4462507
2021-05-14,5273128,4463067
2021-05-15,5273625,4463459
2021-05-16,5273877,4463641
2021-05-17,5274276,4464005
2021-05-18,5274871,4464537
2021-05-19,5275585,4465202
2021-05-20,5276320,4465776
2021-05-21,5276866,4466259
2021-05-22,5277223,4466574
2021-05-23,5277300,4466651
2021-05-24,5277489,4466819
2021-05-25,5277671,4466987
2021-05-26,5277909,4467225
total,5445440,4644171
