,0,1,2,3
2020-11-28,7,56,14,14
2020-11-29,7,63,14,21
2020-11-30,14,77,14,28
2020-12-01,126,182,35,56
2020-12-02,133,196,42,63
2020-12-03,133,203,42,63
2020-12-04,140,210,49,77
2020-12-05,147,217,56,77
2020-12-06,154,224,56,84
2020-12-07,154,245,56,91
2020-12-08,987,1393,609,679
2020-12-09,2653,2660,1505,1799
2020-12-10,4984,5005,2625,3157
2020-12-11,7462,7483,3885,4599
2020-12-12,9632,9079,4865,5677
2020-12-13,10717,9478,5278,6286
2020-12-14,12950,12376,6160,7595
2020-12-15,16667,36526,7945,10108
2020-12-16,21238,81004,9961,13006
2020-12-17,26614,124663,12432,16863
2020-12-18,32312,160475,14987,20776
2020-12-19,37219,206626,17045,24101
2020-12-20,43400,239148,19754,28546
2020-12-21,51142,260575,23079,33691
2020-12-22,58618,296212,26194,38647
2020-12-23,67046,327159,29708,44058
2020-12-24,71148,334978,31360,46557
2020-12-25,71239,335034,31395,46585
2020-12-26,71981,335167,31619,46914
2020-12-27,73402,335377,32067,47523
2020-12-28,75915,335881,32837,48643
2020-12-29,83622,348761,35826,52780
2020-12-30,96943,383579,41412,60445
2020-12-31,108836,409675,46214,67417
2021-01-01,112637,417011,47733,69713
2021-01-02,117684,426993,49637,72408
2021-01-03,121373,429002,50925,74424
2021-01-04,129066,431403,53319,78407
2021-01-05,143199,441203,58135,86023
2021-01-06,162057,458773,64617,96516
2021-01-07,186053,529333,73395,110796
2021-01-08,212821,625345,83944,126742
2021-01-09,234563,706489,92813,139405
2021-01-10,249830,740775,98119,147651
2021-01-11,271166,768075,105476,159068
2021-01-12,296205,818832,114436,173068
2021-01-13,324324,911470,125475,188944
2021-01-14,354228,1024275,138250,206094
2021-01-15,388388,1154125,152663,224798
2021-01-16,414645,1261554,163044,239113
2021-01-17,431837,1308622,169526,248689
2021-01-18,456561,1348725,179060,261849
2021-01-19,483434,1463574,191205,276136
2021-01-20,512953,1573719,206584,291585
2021-01-21,543655,1713964,224742,308280
2021-01-22,575652,1901417,247541,326039
2021-01-23,601062,2085188,271467,340508
2021-01-24,615524,2155881,283402,348845
2021-01-25,634648,2221604,296751,359205
2021-01-26,656110,2294880,313187,371252
2021-01-27,679574,2370809,333599,384027
2021-01-28,702345,2498426,360360,396893
2021-01-29,727762,2700824,396242,411061
2021-01-30,747530,2894472,430570,422779
2021-01-31,760886,3006430,454797,431340
2021-02-01,775670,3114349,477729,440804
2021-02-02,792561,3232446,506009,451934
2021-02-03,810390,3371074,545447,464338
2021-02-04,827974,3518571,588630,476784
2021-02-05,846419,3674454,636979,489811
2021-02-06,862162,3841670,698439,502299
2021-02-07,869820,3919475,722337,508942
2021-02-08,880768,4009523,752297,517020
2021-02-09,894054,4117498,790965,527569
2021-02-10,909356,4238969,828289,539854
2021-02-11,925561,4380943,870548,554834
2021-02-12,946379,4533655,921690,575694
2021-02-13,968310,4678296,971859,598507
2021-02-14,980581,4730439,993055,611954
2021-02-15,995988,4790646,1019088,625842
2021-02-16,1016925,4866981,1069838,649775
2021-02-17,1046073,4944842,1156414,688562
2021-02-18,1076019,5015549,1244250,725963
2021-02-19,1104607,5062260,1317519,757582
2021-02-20,1132299,5102370,1392965,788858
2021-02-21,1144689,5116104,1413867,799190
2021-02-22,1159739,5136292,1446200,814912
2021-02-23,1186465,5161989,1521716,847840
2021-02-24,1221703,5192432,1634766,900207
2021-02-25,1262793,5225185,1751827,960288
2021-02-26,1305738,5253010,1870883,1024373
2021-02-27,1346793,5272351,1970745,1083607
2021-02-28,1364069,5280205,1999746,1114050
2021-03-01,1380911,5288962,2027375,1148182
2021-03-02,1399475,5298517,2061969,1189167
2021-03-03,1422939,5309402,2104522,1238328
2021-03-04,1455944,5322506,2174809,1303400
2021-03-05,1500079,5337220,2268350,1385286
2021-03-06,1542604,5348994,2352959,1469300
2021-03-07,1557654,5352431,2375030,1512000
2021-03-08,1574328,5359144,2403478,1565389
2021-03-09,1592332,5365584,2432087,1620619
2021-03-10,1613885,5372276,2464056,1686818
2021-03-11,1636348,5378716,2493533,1755264
2021-03-12,1670011,5386080,2539803,1846159
2021-03-13,1718122,5393899,2605778,1982904
2021-03-14,1738149,5397637,2634002,2054570
2021-03-15,1768585,5403244,2669674,2166101
2021-03-16,1803879,5409068,2708622,2298156
2021-03-17,1841385,5414332,2743377,2439108
2021-03-18,1886836,5419757,2778496,2605862
2021-03-19,1939973,5425210,2816373,2823156
2021-03-20,2015902,5430005,2858842,3078838
2021-03-21,2049418,5431853,2875194,3185756
2021-03-22,2083298,5434884,2892022,3281929
2021-03-23,2120468,5438636,2908815,3367707
2021-03-24,2168565,5442164,2925895,3450510
2021-03-25,2222017,5446329,2945712,3533362
2021-03-26,2288461,5450004,2965704,3620918
2021-03-27,2376360,5453399,2988706,3725799
2021-03-28,2424324,5454799,2998961,3774750
2021-03-29,2466331,5457319,3010294,3815854
2021-03-30,2509549,5459986,3021333,3851176
2021-03-31,2558941,5462828,3032890,3886281
2021-04-01,2596748,5464879,3041248,3903655
2021-04-02,2617062,5465572,3044762,3913140
2021-04-03,2639182,5466419,3049781,3925355
2021-04-04,2644138,5466643,3051258,3929121
