wave,total,vacc_group,decline_group,decline_total_group,other_reason_group,declined_accepted_group,vaccinated_and_declined_group,preg_group,sevment_group,learndis_group,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,total_percent,vacc_group_percent,decline_group_percent,decline_total_group_percent,other_reason_group_percent,declined_accepted_group_percent,vaccinated_and_declined_group_percent,preg_group_percent,sevment_group_percent,learndis_group_percent,ethnicity_1_percent,ethnicity_2_percent,ethnicity_3_percent,ethnicity_4_percent,ethnicity_5_percent,ethnicity_6_percent
0,14317156,3497795,924,994,70,49,7,223041,0,0,7157640,293867,1333864,547897,520716,4463158,100.0,24.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,50.0,2.1,9.3,3.8,3.6,31.2
1,142982,136157,42,70,0,14,14,0,11095,5530,101689,441,1911,1855,651,36414,100.0,95.2,0.0,0.0,0.0,0.0,0.0,0.0,7.8,3.9,71.1,0.3,1.3,1.3,0.5,25.5
2,1469293,1383081,756,1148,7,336,49,0,11417,805,966077,6111,44737,27454,7063,417837,100.0,94.1,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.1,65.8,0.4,3.0,1.9,0.5,28.4
3,2687727,2542589,1036,1631,49,329,259,0,25396,4263,1881964,11837,88984,37065,17465,650391,100.0,94.6,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.2,70.0,0.4,3.3,1.4,0.6,24.2
4,1154377,979083,826,1057,21,189,35,15967,38976,36603,591983,24577,165312,107100,23212,242172,100.0,84.8,0.1,0.1,0.0,0.0,0.0,1.4,3.4,3.2,51.3,2.1,14.3,9.3,2.0,21.0
5,1432263,1306858,602,721,21,91,21,0,15239,3416,951930,9275,70063,26537,15057,359380,100.0,91.2,0.0,0.1,0.0,0.0,0.0,0.0,1.1,0.2,66.5,0.6,4.9,1.9,1.1,25.1
6,2527560,2028474,1295,1498,63,175,28,20447,216111,105595,1565116,35084,207494,88879,34706,596260,100.0,80.3,0.1,0.1,0.0,0.0,0.0,0.8,8.6,4.2,61.9,1.4,8.2,3.5,1.4,23.6
7,1244446,1087296,350,406,28,35,14,0,0,0,777763,10549,46326,34090,15526,360171,100.0,87.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.8,3.7,2.7,1.2,28.9
8,1633282,1382948,567,805,42,175,56,0,0,0,988393,17437,63952,57799,22918,482769,100.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,1.1,3.9,3.5,1.4,29.6
9,1824662,1484721,560,644,35,63,14,0,0,0,1063328,23289,103033,72541,32620,529844,100.0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.3,1.3,5.6,4.0,1.8,29.0
total,28433769,15829030,6986,9009,364,1484,532,259455,318248,156226,16045911,432502,2125704,1001238,689969,8138424,100.0,55.7,0.0,0.0,0.0,0.0,0.0,0.9,1.1,0.5,56.4,1.5,7.5,3.5,2.4,28.6
