,F,M
2020-11-28,2021103,2303553
2020-11-29,2021103,2303553
2020-11-30,2021103,2303553
2020-12-01,2021089,2303546
2020-12-02,2021082,2303546
2020-12-03,2021082,2303546
2020-12-04,2021082,2303546
2020-12-05,2021082,2303546
2020-12-06,2021082,2303539
2020-12-07,2021082,2303539
2020-12-08,2020704,2303350
2020-12-09,2020046,2303007
2020-12-10,2019276,2302622
2020-12-11,2018457,2302188
2020-12-12,2017743,2301859
2020-12-13,2017337,2301663
2020-12-14,2016679,2301320
2020-12-15,2015370,2300760
2020-12-16,2013816,2300116
2020-12-17,2011842,2299367
2020-12-18,2009910,2298541
2020-12-19,2008335,2297911
2020-12-20,2006312,2297001
2020-12-21,2003631,2295979
2020-12-22,2001181,2294978
2020-12-23,1998402,2293704
2020-12-24,1997135,2293074
2020-12-25,1997128,2293060
2020-12-26,1997009,2292997
2020-12-27,1996652,2292843
2020-12-28,1996043,2292577
2020-12-29,1993845,2291688
2020-12-30,1989442,2289826
2020-12-31,1985368,2288153
2021-01-01,1984122,2287649
2021-01-02,1982701,2287054
2021-01-03,1981553,2286655
2021-01-04,1979593,2285857
2021-01-05,1975729,2284352
2021-01-06,1970353,2282287
2021-01-07,1962856,2279305
2021-01-08,1954274,2275917
2021-01-09,1947071,2273082
2021-01-10,1942521,2271402
2021-01-11,1936277,2268784
2021-01-12,1928577,2265704
2021-01-13,1919876,2262120
2021-01-14,1910391,2257822
2021-01-15,1899653,2252810
2021-01-16,1890875,2249114
2021-01-17,1885184,2246916
2021-01-18,1877988,2243535
2021-01-19,1869784,2239643
2021-01-20,1860796,2235310
2021-01-21,1851136,2230277
2021-01-22,1839950,2224229
2021-01-23,1830661,2219350
2021-01-24,1825509,2216515
2021-01-25,1819363,2213288
2021-01-26,1812209,2209249
2021-01-27,1804887,2204804
2021-01-28,1797033,2199953
2021-01-29,1788325,2194311
2021-01-30,1781262,2189859
2021-01-31,1776180,2186373
2021-02-01,1771056,2182460
2021-02-02,1764770,2177574
2021-02-03,1757735,2171904
2021-02-04,1749867,2165079
2021-02-05,1741306,2157743
2021-02-06,1732213,2148685
2021-02-07,1727929,2144394
2021-02-08,1722602,2139522
2021-02-09,1715336,2132305
2021-02-10,1706040,2122134
2021-02-11,1694070,2108456
2021-02-12,1676430,2087757
2021-02-13,1657600,2065770
2021-02-14,1647499,2053660
2021-02-15,1634850,2039037
2021-02-16,1604316,1999263
2021-02-17,1549072,1926652
2021-02-18,1494241,1854671
2021-02-19,1450162,1796921
2021-02-20,1405544,1737008
2021-02-21,1392853,1720152
2021-02-22,1375101,1696611
2021-02-23,1329853,1636236
2021-02-24,1264858,1548946
2021-02-25,1198064,1461971
2021-02-26,1129415,1372770
2021-02-27,1074017,1301244
2021-02-28,1057581,1280951
2021-03-01,1042804,1263304
2021-03-02,1024282,1240995
2021-03-03,996513,1206653
2021-03-04,953120,1152228
2021-03-05,899325,1083908
2021-03-06,846790,1018584
2021-03-07,833749,1002547
2021-03-08,817523,981365
2021-03-09,800212,959343
2021-03-10,779863,934038
2021-03-11,761551,911561
2021-03-12,730604,873586
2021-03-13,686189,818846
2021-03-14,667303,794598
2021-03-15,642810,763588
2021-03-16,615867,729638
2021-03-17,591675,699531
2021-03-18,566083,668997
2021-03-19,539133,636552
2021-03-20,507059,597961
2021-03-21,494851,582554
2021-03-22,482244,567028
2021-03-23,469798,552104
2021-03-24,457758,537607
2021-03-25,444577,522025
2021-03-26,430752,505715
2021-03-27,413973,485863
2021-03-28,406252,476665
2021-03-29,398650,467068
2021-03-30,391328,458325
2021-03-31,383656,449295
2021-04-01,378161,442526
2021-04-02,375592,439439
2021-04-03,372477,435596
2021-04-04,371238,433965
2021-04-05,370391,432915
2021-04-06,367724,429751
2021-04-07,364637,425922
2021-04-08,361935,422443
2021-04-09,359121,418733
2021-04-10,356440,415478
2021-04-11,355320,414064
2021-04-12,354214,412559
2021-04-13,352884,410865
2021-04-14,351239,409003
2021-04-15,349391,406966
2021-04-16,347354,404817
2021-04-17,345394,402836
2021-04-18,344365,401821
2021-04-19,343077,400491
2021-04-20,341607,398944
2021-04-21,339927,397180
2021-04-22,338156,395402
2021-04-23,336217,393449
2021-04-24,334404,391643
2021-04-25,333515,390817
2021-04-26,332360,389543
2021-04-27,330827,387947
2021-04-28,329133,386204
2021-04-29,327194,384440
2021-04-30,325332,382753
2021-05-01,323610,381395
2021-05-02,322707,380709
2021-05-03,322049,380247
2021-05-04,320663,379113
2021-05-05,318983,377566
2021-05-06,317170,375991
2021-05-07,315252,374325
2021-05-08,313397,372757
2021-05-09,312459,372022
2021-05-10,311192,370720
2021-05-11,309358,368858
2021-05-12,306600,366457
2021-05-13,303548,363867
2021-05-14,300608,361550
2021-05-15,297675,359121
2021-05-16,296261,358071
2021-05-17,295071,356909
2021-05-18,292768,354984
2021-05-19,289625,352457
2021-05-20,286482,349902
2021-05-21,283983,347914
2021-05-22,281757,346171
2021-05-23,281288,345779
2021-05-24,280742,345205
2021-05-25,280028,344512
2021-05-26,279125,343672
total,2021103,2303553
