,5,6,7
2020-11-28,1816815,1625365,1237145
2020-11-29,1816815,1625365,1237145
2020-11-30,1816808,1625358,1237138
2020-12-01,1816794,1625351,1237138
2020-12-02,1816794,1625351,1237131
2020-12-03,1816794,1625344,1237131
2020-12-04,1816787,1625344,1237131
2020-12-05,1816787,1625344,1237131
2020-12-06,1816787,1625344,1237131
2020-12-07,1816780,1625337,1237131
2020-12-08,1816521,1625134,1236998
2020-12-09,1816122,1624700,1236711
2020-12-10,1815597,1624217,1236368
2020-12-11,1815037,1623692,1236011
2020-12-12,1814610,1623300,1235752
2020-12-13,1814365,1623090,1235598
2020-12-14,1813847,1622600,1235297
2020-12-15,1812867,1621655,1234709
2020-12-16,1811768,1620584,1233981
2020-12-17,1810305,1619198,1232973
2020-12-18,1808828,1617714,1232021
2020-12-19,1807575,1616489,1231174
2020-12-20,1805958,1614837,1229991
2020-12-21,1804026,1612926,1228689
2020-12-22,1802157,1611043,1227492
2020-12-23,1800106,1609034,1226148
2020-12-24,1799154,1608117,1225518
2020-12-25,1799140,1608110,1225511
2020-12-26,1799007,1607984,1225434
2020-12-27,1798762,1607753,1225294
2020-12-28,1798314,1607347,1225035
2020-12-29,1796725,1605856,1223978
2020-12-30,1793743,1603140,1222011
2020-12-31,1790950,1600599,1220366
2021-01-01,1790054,1599801,1219778
2021-01-02,1789011,1598828,1219092
2021-01-03,1788213,1598072,1218630
2021-01-04,1786575,1596623,1217734
2021-01-05,1783516,1593844,1215949
2021-01-06,1779421,1590036,1213366
2021-01-07,1774052,1584716,1209775
2021-01-08,1768158,1578724,1205715
2021-01-09,1763342,1574160,1202432
2021-01-10,1760150,1571122,1200416
2021-01-11,1755649,1566922,1197700
2021-01-12,1750322,1561623,1194326
2021-01-13,1744253,1555820,1190329
2021-01-14,1737764,1549492,1185989
2021-01-15,1730638,1542667,1181243
2021-01-16,1725171,1537417,1177638
2021-01-17,1721468,1533924,1175258
2021-01-18,1716421,1529087,1171982
2021-01-19,1710968,1523830,1168412
2021-01-20,1704906,1518258,1164597
2021-01-21,1698592,1512119,1160348
2021-01-22,1691928,1505567,1155798
2021-01-23,1686622,1500317,1151892
2021-01-24,1683570,1497251,1149673
2021-01-25,1679699,1493366,1147062
2021-01-26,1675093,1489033,1143961
2021-01-27,1670389,1484413,1140517
2021-01-28,1665608,1479912,1136919
2021-01-29,1660309,1474886,1133083
2021-01-30,1656095,1470777,1129695
2021-01-31,1653092,1468089,1126818
2021-02-01,1650054,1465100,1123388
2021-02-02,1646449,1461663,1119293
2021-02-03,1642648,1457862,1114484
2021-02-04,1638770,1453858,1109934
2021-02-05,1634647,1449651,1105223
2021-02-06,1630713,1445143,1101191
2021-02-07,1628844,1442609,1098937
2021-02-08,1626121,1439844,1096354
2021-02-09,1622677,1436652,1092441
2021-02-10,1619016,1433082,1087387
2021-02-11,1615257,1428861,1080387
2021-02-12,1610504,1423247,1069894
2021-02-13,1605051,1416786,1058995
2021-02-14,1602160,1412817,1052408
2021-02-15,1598660,1408449,1046388
2021-02-16,1593053,1400973,1035531
2021-02-17,1584268,1389493,1017016
2021-02-18,1575371,1377635,1000363
2021-02-19,1567181,1367058,987511
2021-02-20,1558627,1356383,975478
2021-02-21,1555183,1353023,971943
2021-02-22,1551011,1347500,965916
2021-02-23,1542569,1336993,951930
2021-02-24,1530543,1321222,927367
2021-02-25,1516956,1305143,896959
2021-02-26,1504069,1288924,861973
2021-02-27,1491840,1274476,829416
2021-02-28,1486387,1269240,809655
2021-03-01,1480948,1264186,786016
2021-03-02,1475047,1257942,757183
2021-03-03,1468271,1250438,722302
2021-03-04,1457365,1238223,680344
2021-03-05,1442413,1220807,630833
2021-03-06,1428868,1200717,580454
2021-03-07,1424101,1189965,553273
2021-03-08,1417591,1177848,518511
2021-03-09,1411550,1160873,486290
2021-03-10,1403619,1134210,454685
2021-03-11,1394176,1103270,426636
2021-03-12,1376830,1061130,395220
2021-03-13,1341214,1000818,354410
2021-03-14,1322958,966343,335468
2021-03-15,1296435,904085,312718
2021-03-16,1252370,836654,292159
2021-03-17,1197280,769013,273931
2021-03-18,1112664,703234,257579
2021-03-19,993937,624127,238119
2021-03-20,846090,538580,215824
2021-03-21,789418,496909,207256
2021-03-22,736288,461482,199647
2021-03-23,686413,432663,192556
2021-03-24,637378,405510,185941
2021-03-25,587153,379925,178899
2021-03-26,534527,351820,172074
2021-03-27,469336,320005,164199
2021-03-28,439208,304570,160811
2021-03-29,413735,292110,157640
2021-03-30,391846,281687,154630
2021-03-31,371035,270508,151515
2021-04-01,363440,262682,149569
2021-04-02,359597,257999,148610
2021-04-03,353990,252539,147455
2021-04-04,352352,250761,147105
2021-04-05,351372,249655,146867
2021-04-06,347641,246869,145873
2021-04-07,343693,244503,144970
2021-04-08,340424,242347,144039
2021-04-09,336336,239883,143073
2021-04-10,332381,237643,142205
2021-04-11,330561,236719,141792
2021-04-12,328895,235774,141302
2021-04-13,327264,234668,140749
2021-04-14,325584,233688,140126
2021-04-15,323939,232631,139608
2021-04-16,322252,231574,139097
2021-04-17,320663,230671,138698
2021-04-18,319921,230272,138523
2021-04-19,318990,229607,138180
2021-04-20,317695,228830,137683
2021-04-21,316533,228025,137270
2021-04-22,315231,227185,136857
2021-04-23,313782,226303,136423
2021-04-24,312487,225533,136080
2021-04-25,311892,225204,135940
2021-04-26,310975,224644,135597
2021-04-27,310086,224021,135191
2021-04-28,309113,223349,134890
2021-04-29,307902,222523,134477
2021-04-30,306656,221816,134015
2021-05-01,305662,221193,133770
2021-05-02,305235,220941,133658
2021-05-03,304969,220780,133581
2021-05-04,304115,220304,133294
