,False
2020-11-28,4679318
2020-11-29,4679311
2020-11-30,4679304
2020-12-01,4679276
2020-12-02,4679269
2020-12-03,4679269
2020-12-04,4679255
2020-12-05,4679255
2020-12-06,4679248
2020-12-07,4679241
2020-12-08,4678653
2020-12-09,4677533
2020-12-10,4676175
2020-12-11,4674733
2020-12-12,4673655
2020-12-13,4673046
2020-12-14,4671737
2020-12-15,4669224
2020-12-16,4666326
2020-12-17,4662469
2020-12-18,4658556
2020-12-19,4655231
2020-12-20,4650786
2020-12-21,4645641
2020-12-22,4640685
2020-12-23,4635274
2020-12-24,4632775
2020-12-25,4632747
2020-12-26,4632418
2020-12-27,4631809
2020-12-28,4630689
2020-12-29,4626552
2020-12-30,4618887
2020-12-31,4611915
2021-01-01,4609619
2021-01-02,4606924
2021-01-03,4604908
2021-01-04,4600925
2021-01-05,4593309
2021-01-06,4582816
2021-01-07,4568536
2021-01-08,4552590
2021-01-09,4539927
2021-01-10,4531681
2021-01-11,4520264
2021-01-12,4506264
2021-01-13,4490388
2021-01-14,4473238
2021-01-15,4454534
2021-01-16,4440219
2021-01-17,4430643
2021-01-18,4417483
2021-01-19,4403196
2021-01-20,4387747
2021-01-21,4371052
2021-01-22,4353293
2021-01-23,4338824
2021-01-24,4330487
2021-01-25,4320127
2021-01-26,4308080
2021-01-27,4295305
2021-01-28,4282439
2021-01-29,4268271
2021-01-30,4256553
2021-01-31,4247992
2021-02-01,4238528
2021-02-02,4227398
2021-02-03,4214994
2021-02-04,4202548
2021-02-05,4189521
2021-02-06,4177033
2021-02-07,4170390
2021-02-08,4162312
2021-02-09,4151763
2021-02-10,4139478
2021-02-11,4124498
2021-02-12,4103638
2021-02-13,4080825
2021-02-14,4067378
2021-02-15,4053490
2021-02-16,4029557
2021-02-17,3990770
2021-02-18,3953369
2021-02-19,3921750
2021-02-20,3890474
2021-02-21,3880142
2021-02-22,3864420
2021-02-23,3831492
2021-02-24,3779125
2021-02-25,3719044
2021-02-26,3654959
2021-02-27,3595725
2021-02-28,3565282
2021-03-01,3531150
2021-03-02,3490165
2021-03-03,3441004
2021-03-04,3375932
2021-03-05,3294046
2021-03-06,3210032
2021-03-07,3167332
2021-03-08,3113943
2021-03-09,3058713
2021-03-10,2992514
2021-03-11,2924068
2021-03-12,2833173
2021-03-13,2696428
2021-03-14,2624762
2021-03-15,2513231
2021-03-16,2381176
2021-03-17,2240224
2021-03-18,2073470
2021-03-19,1856176
2021-03-20,1600494
2021-03-21,1493576
2021-03-22,1397403
2021-03-23,1311625
2021-03-24,1228822
2021-03-25,1145970
2021-03-26,1058414
2021-03-27,953533
2021-03-28,904582
2021-03-29,863478
2021-03-30,828156
2021-03-31,793051
2021-04-01,775677
2021-04-02,766192
2021-04-03,753977
2021-04-04,750211
2021-04-05,747887
2021-04-06,740376
2021-04-07,733159
2021-04-08,726810
2021-04-09,719285
2021-04-10,712229
2021-04-11,709072
2021-04-12,705971
2021-04-13,702674
2021-04-14,699391
2021-04-15,696171
2021-04-16,692916
2021-04-17,690018
2021-04-18,688709
2021-04-19,686770
2021-04-20,684201
2021-04-21,681821
2021-04-22,679266
2021-04-23,676508
2021-04-24,674100
2021-04-25,673029
2021-04-26,671216
2021-04-27,669284
2021-04-28,667345
2021-04-29,664888
2021-04-30,662480
2021-05-01,660618
2021-05-02,659827
2021-05-03,659323
2021-05-04,657706
2021-05-05,655550
2021-05-06,653709
2021-05-07,651896
2021-05-08,649922
2021-05-09,648998
2021-05-10,647353
2021-05-11,644826
2021-05-12,642467
2021-05-13,639912
2021-05-14,637308
2021-05-15,634655
2021-05-16,633479
2021-05-17,631456
2021-05-18,629097
2021-05-19,626269
2021-05-20,623525
2021-05-21,621012
2021-05-22,618926
2021-05-23,618898
2021-05-24,618877
total,4679332
