,1,2,3,4,5
2021-04-01,201684,191310,145530,121828,115325
2021-04-02,199647,189280,143780,119994,113491
2021-04-03,196595,186662,141484,117894,111349
2021-04-04,195671,185808,140742,117208,110775
2021-04-05,195048,185234,140308,116837,110460
2021-04-06,193158,183337,138810,115689,109382
2021-04-07,191135,181538,137466,114583,108430
2021-04-08,189329,179942,136276,113659,107604
2021-04-09,187264,178136,134855,112462,106575
2021-04-10,185353,176484,133462,111342,105588
2021-04-11,184429,175728,132853,110908,105147
2021-04-12,183589,174923,132293,110404,104755
2021-04-13,182595,174160,131754,109823,104335
2021-04-14,181678,173390,131103,109277,103936
2021-04-15,180740,172571,130536,108794,103523
2021-04-16,179907,171766,129920,108283,103040
2021-04-17,179137,171073,129381,107842,102585
2021-04-18,178794,170723,129150,107639,102403
2021-04-19,178325,170247,128772,107310,102109
2021-04-20,177583,169638,128331,106904,101745
2021-04-21,176981,169064,127855,106554,101360
2021-04-22,176358,168448,127351,106155,100954
2021-04-23,175609,167776,126868,105693,100555
2021-04-24,174930,167230,126413,105308,100219
2021-04-25,174664,166964,126224,105112,100065
2021-04-26,174209,166474,125867,104839,99820
2021-04-27,173684,166005,125531,104524,99540
2021-04-28,173131,165536,125188,104216,99274
2021-04-29,172459,164955,124754,103775,98945
2021-04-30,171794,164374,124292,103404,98616
2021-05-01,171227,163954,123935,103117,98378
2021-05-02,171003,163744,123802,102998,98273
2021-05-03,170877,163632,123690,102921,98196
2021-05-04,170443,163142,123410,102704,98007
2021-05-05,169834,162610,123018,102375,97713
2021-05-06,169316,162183,122682,102067,97454
2021-05-07,168861,161763,122325,101731,97209
2021-05-08,168364,161273,121926,101444,96915
2021-05-09,168098,161063,121751,101311,96775
2021-05-10,167727,160643,121408,101024,96551
2021-05-11,167055,160006,120904,100625,96236
2021-05-12,166425,159439,120414,100261,95928
2021-05-13,165725,158816,119889,99883,95599
2021-05-14,165046,158165,119399,99463,95221
2021-05-15,164283,157486,118902,99057,94920
2021-05-16,163975,157199,118650,98882,94766
2021-05-17,163401,156723,118265,98567,94500
2021-05-18,162778,156093,117845,98210,94171
2021-05-19,162036,155379,117299,97769,93779
2021-05-20,161294,154770,116781,97328,93359
2021-05-21,160601,154077,116319,96985,93030
2021-05-22,160041,153608,115934,96656,92694
2021-05-23,160041,153601,115927,96649,92687
2021-05-24,160034,153594,115920,96642,92680
total,775467,883393,937097,990129,1093232
