,8
2020-11-28,7
2020-11-29,7
2020-11-30,14
2020-12-01,14
2020-12-02,14
2020-12-03,14
2020-12-04,14
2020-12-05,14
2020-12-06,14
2020-12-07,14
2020-12-08,77
2020-12-09,196
2020-12-10,322
2020-12-11,448
2020-12-12,546
2020-12-13,623
2020-12-14,728
2020-12-15,945
2020-12-16,1176
2020-12-17,1470
2020-12-18,1799
2020-12-19,2114
2020-12-20,2457
2020-12-21,2884
2020-12-22,3290
2020-12-23,3808
2020-12-24,4060
2020-12-25,4067
2020-12-26,4074
2020-12-27,4130
2020-12-28,4242
2020-12-29,4578
2020-12-30,5376
2020-12-31,6188
2021-01-01,6412
2021-01-02,6594
2021-01-03,6734
2021-01-04,7028
2021-01-05,7560
2021-01-06,8400
2021-01-07,9800
2021-01-08,11368
2021-01-09,12796
2021-01-10,13496
2021-01-11,14364
2021-01-12,15596
2021-01-13,17157
2021-01-14,19012
2021-01-15,21168
2021-01-16,23016
2021-01-17,24178
2021-01-18,25459
2021-01-19,27321
2021-01-20,29589
2021-01-21,32284
2021-01-22,36155
2021-01-23,39424
2021-01-24,41342
2021-01-25,43239
2021-01-26,45577
2021-01-27,48384
2021-01-28,52199
2021-01-29,56854
2021-01-30,60599
2021-01-31,64435
2021-02-01,70399
2021-02-02,76580
2021-02-03,84945
2021-02-04,95543
2021-02-05,107240
2021-02-06,123641
2021-02-07,133070
2021-02-08,145593
2021-02-09,174048
2021-02-10,219534
2021-02-11,284690
2021-02-12,359345
2021-02-13,445424
2021-02-14,482790
2021-02-15,524258
2021-02-16,578956
2021-02-17,639310
2021-02-18,686420
2021-02-19,722925
2021-02-20,754243
2021-02-21,766220
2021-02-22,783237
2021-02-23,802634
2021-02-24,828415
2021-02-25,852341
2021-02-26,875784
2021-02-27,891828
2021-02-28,900291
2021-03-01,906059
2021-03-02,912065
2021-03-03,919100
2021-03-04,928851
2021-03-05,938714
2021-03-06,947443
2021-03-07,949550
2021-03-08,953351
2021-03-09,957047
2021-03-10,960484
2021-03-11,963753
2021-03-12,968394
2021-03-13,973875
2021-03-14,976626
2021-03-15,980665
2021-03-16,984004
2021-03-17,986748
2021-03-18,989646
2021-03-19,992208
2021-03-20,995288
2021-03-21,996170
2021-03-22,997521
2021-03-23,999068
2021-03-24,1000496
2021-03-25,1001889
2021-03-26,1003240
2021-03-27,1004717
2021-03-28,1005396
2021-03-29,1006306
2021-03-30,1007223
2021-03-31,1008161
2021-04-01,1008763
2021-04-02,1009015
2021-04-03,1009281
2021-04-04,1009393
2021-04-05,1009470
2021-04-06,1009799
2021-04-07,1010289
2021-04-08,1010730
2021-04-09,1011213
2021-04-10,1011591
2021-04-11,1011731
2021-04-12,1011969
2021-04-13,1012214
2021-04-14,1012480
2021-04-15,1012725
2021-04-16,1012977
2021-04-17,1013180
2021-04-18,1013264
2021-04-19,1013488
2021-04-20,1013719
2021-04-21,1013943
2021-04-22,1014188
2021-04-23,1014461
2021-04-24,1014643
2021-04-25,1014734
2021-04-26,1014902
2021-04-27,1015084
2021-04-28,1015315
2021-04-29,1015532
2021-04-30,1015728
2021-05-01,1015875
2021-05-02,1015945
2021-05-03,1016008
2021-05-04,1016127
2021-05-05,1016302
2021-05-06,1016554
2021-05-07,1016750
2021-05-08,1016918
2021-05-09,1017002
2021-05-10,1017156
2021-05-11,1017338
2021-05-12,1017597
2021-05-13,1017884
2021-05-14,1018073
2021-05-15,1018241
2021-05-16,1018325
2021-05-17,1018430
2021-05-18,1018619
2021-05-19,1018885
2021-05-20,1019095
2021-05-21,1019242
2021-05-22,1019389
2021-05-23,1019452
2021-05-24,1019578
2021-05-25,1019725
2021-05-26,1019914
total,1074843
