,0,1,2,3
2020-11-28,9461347,4367594,2619883,3393530
2020-11-29,9461347,4367587,2619883,3393516
2020-11-30,9461347,4367580,2619883,3393516
2020-12-01,9461347,4367552,2619876,3393509
2020-12-02,9461347,4367552,2619876,3393509
2020-12-03,9461347,4367552,2619876,3393509
2020-12-04,9461347,4367552,2619876,3393509
2020-12-05,9461347,4367552,2619876,3393509
2020-12-06,9461340,4367552,2619876,3393509
2020-12-07,9461340,4367538,2619869,3393509
2020-12-08,9460703,4366516,2619435,3392977
2020-12-09,9459492,4364423,2618707,3392032
2020-12-10,9458246,4361966,2617937,3391227
2020-12-11,9456930,4359628,2617160,3390324
2020-12-12,9455453,4358060,2616397,3389463
2020-12-13,9454347,4356744,2615921,3388784
2020-12-14,9452905,4354308,2615256,3387902
2020-12-15,9450602,4332125,2614122,3386453
2020-12-16,9447781,4295620,2612792,3384514
2020-12-17,9444449,4262615,2611175,3382113
2020-12-18,9441180,4240649,2609572,3379873
2020-12-19,9438401,4214623,2608305,3377948
2020-12-20,9434670,4191733,2606716,3375281
2020-12-21,9430008,4177215,2604560,3371809
2020-12-22,9425766,4151287,2602467,3368876
2020-12-23,9420096,4131904,2599919,3365180
2020-12-24,9417205,4126864,2598736,3363346
2020-12-25,9417184,4126850,2598729,3363339
2020-12-26,9417002,4126829,2598687,3363276
2020-12-27,9416029,4126549,2598379,3362730
2020-12-28,9414384,4125863,2597840,3361855
2020-12-29,9410226,4116301,2596237,3359496
2020-12-30,9401063,4089435,2592275,3353756
2020-12-31,9392131,4069282,2588418,3348254
2021-01-01,9389709,4065250,2587361,3346791
2021-01-02,9386566,4061659,2586304,3345139
2021-01-03,9383829,4059734,2585457,3343837
2021-01-04,9379076,4057319,2583847,3341366
2021-01-05,9370564,4052244,2580879,3336347
2021-01-06,9359042,4039728,2576854,3329501
2021-01-07,9342676,3989965,2570526,3319351
2021-01-08,9324987,3929023,2563358,3308683
2021-01-09,9309244,3876516,2557086,3299149
2021-01-10,9298793,3853507,2553586,3293605
2021-01-11,9283743,3836931,2548140,3285366
2021-01-12,9265116,3798046,2541399,3274992
2021-01-13,9244802,3736460,2533888,3263470
2021-01-14,9222528,3670870,2525614,3250611
2021-01-15,9197650,3589201,2515352,3236177
2021-01-16,9175950,3505670,2506700,3223906
2021-01-17,9160298,3469837,2501324,3215464
2021-01-18,9142049,3441788,2494926,3205720
2021-01-19,9121546,3358362,2486400,3194548
2021-01-20,9098677,3260761,2476075,3182480
2021-01-21,9075479,3160913,2463881,3169775
2021-01-22,9049544,3013563,2447676,3155299
2021-01-23,9028425,2860305,2432927,3143777
2021-01-24,9015797,2808162,2425227,3136637
2021-01-25,9000474,2760289,2417170,3128419
2021-01-26,8982869,2696176,2406159,3119102
2021-01-27,8966300,2633750,2394560,3110128
2021-01-28,8949325,2534525,2377326,3100895
2021-01-29,8931167,2391942,2357586,3090605
2021-01-30,8916572,2246132,2335368,3082324
2021-01-31,8905323,2162825,2321977,3076157
2021-02-01,8894781,2087071,2307564,3070347
2021-02-02,8883637,2000572,2288993,3063725
