,0,1,2,3
2020-11-29,0,0,0,7
2020-11-30,0,7,0,7
2020-12-01,0,21,7,14
2020-12-02,0,21,7,14
2020-12-03,0,21,7,14
2020-12-04,0,21,7,14
2020-12-05,0,21,7,14
2020-12-06,7,21,7,14
2020-12-07,7,28,7,14
2020-12-08,644,672,441,539
2020-12-09,1841,2324,1155,1484
2020-12-10,3087,4459,1925,2296
2020-12-11,4403,6482,2681,3185
2020-12-12,5873,7952,3451,4046
2020-12-13,6979,9254,3927,4725
2020-12-14,8428,11396,4592,5607
2020-12-15,10724,33285,5719,7056
2020-12-16,13538,69440,7049,8995
2020-12-17,16870,102102,8659,11389
2020-12-18,20125,123956,10262,13629
2020-12-19,22904,150185,11522,15547
2020-12-20,26635,173103,13111,18214
2020-12-21,31283,187404,15239,21672
2020-12-22,35518,213164,17325,24605
2020-12-23,41188,232309,19866,28294
2020-12-24,44079,237195,21042,30128
2020-12-25,44100,237202,21049,30142
2020-12-26,44282,237223,21098,30205
2020-12-27,45255,237496,21406,30744
2020-12-28,46907,238175,21938,31626
2020-12-29,51044,247618,23513,33978
2020-12-30,60200,274337,27475,39718
2020-12-31,69132,294371,31325,45213
2021-01-01,71540,298249,32326,46669
2021-01-02,74690,301770,33376,48321
2021-01-03,77427,303681,34216,49616
2021-01-04,82166,305739,35798,52080
2021-01-05,90671,310289,38752,57092
2021-01-06,102172,322357,42742,63924
2021-01-07,118524,371609,49056,74067
2021-01-08,136206,432033,56196,84735
2021-01-09,151942,484386,62468,94262
2021-01-10,162400,507367,65968,99813
2021-01-11,177443,523173,71400,108052
2021-01-12,196056,561365,78113,118405
2021-01-13,216370,622055,85575,129913
2021-01-14,238637,686777,93800,142772
2021-01-15,263494,767599,103999,157206
2021-01-16,285194,850976,112651,169470
2021-01-17,300846,886669,118020,177912
2021-01-18,319074,913465,124376,187649
2021-01-19,339577,995610,132818,198814
2021-01-20,362432,1091993,143024,210875
2021-01-21,385616,1190805,155078,223566
2021-01-22,411530,1337378,171122,238042
2021-01-23,432642,1490531,185843,249557
2021-01-24,445277,1542590,193536,256697
2021-01-25,460593,1589063,201439,264901
2021-01-26,478170,1651475,212212,274197
2021-01-27,494725,1712354,223531,283150
2021-01-28,511686,1810291,240457,292369
2021-01-29,529830,1951621,259819,302645
2021-01-30,544418,2097158,281981,310919
2021-01-31,555667,2180346,295344,317086
2021-02-01,566181,2254245,309190,322861
2021-02-02,577297,2338672,327166,329469
2021-02-03,589547,2446192,352723,336700
2021-02-04,602749,2559235,383621,344554
2021-02-05,615482,2666160,415317,352394
2021-02-06,626640,2803381,462938,359639
2021-02-07,633297,2872877,484666,364161
2021-02-08,640346,2937431,506289,368389
2021-02-09,649026,3028893,534359,374010
2021-02-10,658805,3124457,565327,381157
2021-02-11,670376,3236884,602000,390726
2021-02-12,683718,3351516,639667,402801
2021-02-13,698278,3471699,675983,415107
2021-02-14,706321,3519236,691292,422121
2021-02-15,715771,3569587,706720,429408
