,8
2020-11-29,0
2020-11-30,0
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,63
2020-12-09,182
2020-12-10,287
2020-12-11,413
2020-12-12,511
2020-12-13,588
2020-12-14,693
2020-12-15,910
2020-12-16,1134
2020-12-17,1428
2020-12-18,1757
2020-12-19,2072
2020-12-20,2415
2020-12-21,2842
2020-12-22,3241
2020-12-23,3752
2020-12-24,3997
2020-12-25,3997
2020-12-26,4011
2020-12-27,4067
2020-12-28,4179
2020-12-29,4508
2020-12-30,5313
2020-12-31,6125
2021-01-01,6314
2021-01-02,6496
2021-01-03,6636
2021-01-04,6923
2021-01-05,7462
2021-01-06,8302
2021-01-07,9688
2021-01-08,11249
2021-01-09,12684
2021-01-10,13384
2021-01-11,14245
2021-01-12,15463
2021-01-13,17024
2021-01-14,18872
2021-01-15,21014
2021-01-16,22869
2021-01-17,24031
2021-01-18,25305
2021-01-19,27153
2021-01-20,29414
2021-01-21,32088
2021-01-22,35931
2021-01-23,39193
2021-01-24,41104
2021-01-25,42973
2021-01-26,45283
2021-01-27,48041
2021-01-28,51800
2021-01-29,56406
2021-01-30,60116
2021-01-31,63931
2021-02-01,69790
2021-02-02,75880
2021-02-03,84035
2021-02-04,94402
2021-02-05,105826
2021-02-06,122164
2021-02-07,131572
2021-02-08,143479
2021-02-09,170954
2021-02-10,215516
2021-02-11,279769
2021-02-12,353605
2021-02-13,439551
2021-02-14,476903
2021-02-15,517713
2021-02-16,571851
2021-02-17,631799
2021-02-18,678468
2021-02-19,714665
2021-02-20,745955
2021-02-21,757925
2021-02-22,774662
2021-02-23,793751
2021-02-24,819154
2021-02-25,842800
2021-02-26,865998
2021-02-27,882021
2021-02-28,890484
2021-03-01,895790
2021-03-02,901404
2021-03-03,907998
2021-03-04,917399
2021-03-05,927031
2021-03-06,935739
2021-03-07,937825
2021-03-08,941213
2021-03-09,944377
2021-03-10,947352
2021-03-11,950124
2021-03-12,954436
2021-03-13,959896
2021-03-14,962654
2021-03-15,966189
2021-03-16,969164
2021-03-17,971544
2021-03-18,974155
2021-03-19,976451
2021-03-20,979503
2021-03-21,980392
2021-03-22,981491
2021-03-23,982625
2021-03-24,983815
2021-03-25,985019
2021-03-26,986188
2021-03-27,987672
2021-03-28,988351
2021-03-29,989079
2021-03-30,989891
2021-03-31,990696
2021-04-01,991228
2021-04-02,991466
2021-04-03,991725
2021-04-04,991837
2021-04-05,991907
2021-04-06,992145
2021-04-07,992481
2021-04-08,992824
2021-04-09,993202
2021-04-10,993573
2021-04-11,993713
2021-04-12,993895
2021-04-13,994105
2021-04-14,994308
2021-04-15,994504
2021-04-16,994700
2021-04-17,994903
2021-04-18,994994
2021-04-19,995099
2021-04-20,995246
2021-04-21,995400
2021-04-22,995561
2021-04-23,995736
2021-04-24,995918
2021-04-25,996002
2021-04-26,996121
2021-04-27,996254
2021-04-28,996450
2021-04-29,996632
2021-04-30,996786
2021-05-01,996926
2021-05-02,996989
2021-05-03,997031
2021-05-04,997115
2021-05-05,997241
2021-05-06,997437
2021-05-07,997591
2021-05-08,997752
2021-05-09,997829
2021-05-10,997948
2021-05-11,998074
2021-05-12,998256
2021-05-13,998438
2021-05-14,998613
2021-05-15,998774
2021-05-16,998858
2021-05-17,998942
2021-05-18,999075
2021-05-19,999285
total,1074962
