,5
2020-11-28,7
2020-11-29,7
2020-11-30,7
2020-12-01,7
2020-12-02,7
2020-12-03,7
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,7
2020-12-09,21
2020-12-10,21
2020-12-11,28
2020-12-12,28
2020-12-13,28
2020-12-14,28
2020-12-15,28
2020-12-16,28
2020-12-17,35
2020-12-18,42
2020-12-19,42
2020-12-20,42
2020-12-21,49
2020-12-22,49
2020-12-23,49
2020-12-24,56
2020-12-25,56
2020-12-26,56
2020-12-27,56
2020-12-28,56
2020-12-29,56
2020-12-30,56
2020-12-31,56
2021-01-01,63
2021-01-02,70
2021-01-03,70
2021-01-04,77
2021-01-05,77
2021-01-06,84
2021-01-07,91
2021-01-08,105
2021-01-09,105
2021-01-10,105
2021-01-11,112
2021-01-12,119
2021-01-13,133
2021-01-14,133
2021-01-15,147
2021-01-16,147
2021-01-17,147
2021-01-18,168
2021-01-19,168
2021-01-20,182
2021-01-21,189
2021-01-22,210
2021-01-23,210
2021-01-24,210
2021-01-25,224
2021-01-26,231
2021-01-27,245
2021-01-28,252
2021-01-29,259
2021-01-30,273
2021-01-31,273
2021-02-01,287
2021-02-02,301
2021-02-03,322
2021-02-04,336
2021-02-05,357
2021-02-06,357
2021-02-07,364
2021-02-08,406
2021-02-09,434
2021-02-10,469
2021-02-11,504
2021-02-12,574
2021-02-13,602
2021-02-14,609
2021-02-15,721
2021-02-16,868
2021-02-17,1043
2021-02-18,1197
2021-02-19,1337
2021-02-20,1365
2021-02-21,1372
2021-02-22,1540
2021-02-23,1757
2021-02-24,1967
2021-02-25,2121
2021-02-26,2254
2021-02-27,2268
2021-02-28,2268
2021-03-01,2436
2021-03-02,2653
2021-03-03,2891
2021-03-04,3101
2021-03-05,3311
2021-03-06,3367
2021-03-07,3374
2021-03-08,3591
2021-03-09,3990
2021-03-10,4564
2021-03-11,5467
2021-03-12,6559
2021-03-13,6769
2021-03-14,6846
2021-03-15,8414
2021-03-16,10731
2021-03-17,13468
2021-03-18,15785
2021-03-19,17920
2021-03-20,18347
2021-03-21,18522
2021-03-22,20727
2021-03-23,23331
2021-03-24,25424
2021-03-25,27118
2021-03-26,28483
2021-03-27,28658
2021-03-28,28714
2021-03-29,29813
2021-03-30,30597
2021-03-31,31381
2021-04-01,32088
2021-04-02,32158
2021-04-03,32228
2021-04-04,32284
2021-04-05,32319
2021-04-06,33215
2021-04-07,34188
2021-04-08,35098
2021-04-09,35763
2021-04-10,35798
2021-04-11,35819
2021-04-12,36435
2021-04-13,36995
2021-04-14,37534
2021-04-15,38094
2021-04-16,38605
2021-04-17,38661
2021-04-18,38703
2021-04-19,39088
2021-04-20,39613
2021-04-21,40005
2021-04-22,40474
2021-04-23,40887
2021-04-24,40908
2021-04-25,40936
2021-04-26,41496
2021-04-27,41916
2021-04-28,42210
2021-04-29,42630
2021-04-30,43029
2021-05-01,43043
2021-05-02,43057
2021-05-03,43099
2021-05-04,43470
2021-05-05,44058
2021-05-06,44394
2021-05-07,44814
2021-05-08,44849
2021-05-09,44863
2021-05-10,45262
2021-05-11,45843
2021-05-12,46256
2021-05-13,46774
2021-05-14,47089
2021-05-15,47117
2021-05-16,47159
2021-05-17,47607
2021-05-18,47943
2021-05-19,48293
2021-05-20,48454
2021-05-21,48608
2021-05-22,48720
2021-05-23,48720
2021-05-24,48734
total,3115245
