,0,1,2,3
2020-11-28,14242844,5722010,3691940,4679318
2020-11-29,14242844,5722003,3691940,4679311
2020-11-30,14242837,5721989,3691940,4679304
2020-12-01,14242725,5721884,3691919,4679276
2020-12-02,14242718,5721870,3691912,4679269
2020-12-03,14242718,5721863,3691912,4679269
2020-12-04,14242711,5721856,3691905,4679255
2020-12-05,14242704,5721849,3691898,4679255
2020-12-06,14242697,5721842,3691898,4679248
2020-12-07,14242697,5721821,3691898,4679241
2020-12-08,14241864,5720673,3691345,4678653
2020-12-09,14240198,5719406,3690449,4677533
2020-12-10,14237867,5717061,3689329,4676175
2020-12-11,14235389,5714583,3688069,4674733
2020-12-12,14233219,5712987,3687089,4673655
2020-12-13,14232134,5712588,3686676,4673046
2020-12-14,14229901,5709690,3685794,4671737
2020-12-15,14226184,5685540,3684009,4669224
2020-12-16,14221613,5641062,3681993,4666326
2020-12-17,14216237,5597403,3679522,4662469
2020-12-18,14210539,5561591,3676967,4658556
2020-12-19,14205632,5515440,3674909,4655231
2020-12-20,14199451,5482918,3672200,4650786
2020-12-21,14191709,5461491,3668875,4645641
2020-12-22,14184233,5425854,3665760,4640685
2020-12-23,14175805,5394907,3662246,4635274
2020-12-24,14171703,5387088,3660594,4632775
2020-12-25,14171612,5387032,3660559,4632747
2020-12-26,14170870,5386899,3660335,4632418
2020-12-27,14169449,5386689,3659887,4631809
2020-12-28,14166936,5386185,3659117,4630689
2020-12-29,14159229,5373305,3656128,4626552
2020-12-30,14145908,5338487,3650542,4618887
2020-12-31,14134015,5312391,3645740,4611915
2021-01-01,14130214,5305055,3644221,4609619
2021-01-02,14125167,5295073,3642317,4606924
2021-01-03,14121478,5293064,3641029,4604908
2021-01-04,14113785,5290663,3638635,4600925
2021-01-05,14099652,5280863,3633819,4593309
2021-01-06,14080794,5263293,3627337,4582816
2021-01-07,14056798,5192733,3618559,4568536
2021-01-08,14030030,5096721,3608010,4552590
2021-01-09,14008288,5015577,3599141,4539927
2021-01-10,13993021,4981291,3593835,4531681
