,5,6,7
2020-11-28,7,0,0
2020-11-29,7,0,0
2020-11-30,7,0,0
2020-12-01,7,0,0
2020-12-02,7,0,0
2020-12-03,7,0,0
2020-12-04,7,0,7
2020-12-05,7,0,7
2020-12-06,7,0,7
2020-12-07,7,0,7
2020-12-08,7,0,7
2020-12-09,21,7,7
2020-12-10,21,7,14
2020-12-11,28,7,14
2020-12-12,28,7,14
2020-12-13,28,7,14
2020-12-14,28,7,14
2020-12-15,28,14,14
2020-12-16,28,14,14
2020-12-17,35,21,21
2020-12-18,35,21,21
2020-12-19,35,21,21
2020-12-20,35,21,21
2020-12-21,42,28,21
2020-12-22,42,28,21
2020-12-23,42,28,28
2020-12-24,49,28,28
2020-12-25,49,28,28
2020-12-26,49,28,28
2020-12-27,49,28,28
2020-12-28,49,28,28
2020-12-29,49,28,28
2020-12-30,49,28,35
2020-12-31,49,28,35
2021-01-01,56,28,35
2021-01-02,56,28,35
2021-01-03,56,28,35
2021-01-04,56,28,35
2021-01-05,56,35,35
2021-01-06,63,35,42
2021-01-07,63,35,42
2021-01-08,77,49,56
2021-01-09,77,49,56
2021-01-10,77,49,56
2021-01-11,84,56,63
2021-01-12,84,63,70
2021-01-13,91,63,70
2021-01-14,91,70,84
2021-01-15,98,77,91
2021-01-16,98,77,91
2021-01-17,98,77,91
2021-01-18,119,91,105
2021-01-19,119,98,112
2021-01-20,126,105,119
2021-01-21,133,105,126
2021-01-22,147,119,140
2021-01-23,147,119,147
2021-01-24,147,119,147
2021-01-25,154,119,161
2021-01-26,161,126,182
2021-01-27,168,133,189
2021-01-28,175,147,203
2021-01-29,182,147,231
2021-01-30,189,154,245
2021-01-31,189,154,245
2021-02-01,196,168,266
2021-02-02,210,182,301
2021-02-03,224,196,322
2021-02-04,231,217,357
2021-02-05,245,224,392
2021-02-06,245,231,399
2021-02-07,245,231,399
2021-02-08,273,252,455
2021-02-09,294,287,532
2021-02-10,315,315,602
2021-02-11,336,350,672
2021-02-12,378,406,791
2021-02-13,399,420,826
2021-02-14,399,427,910
2021-02-15,469,532,1078
2021-02-16,553,644,1288
2021-02-17,665,749,1449
2021-02-18,749,924,1610
2021-02-19,833,1036,1729
2021-02-20,840,1057,1764
2021-02-21,847,1057,1771
2021-02-22,952,1169,1897
2021-02-23,1099,1316,2065
2021-02-24,1232,1484,2233
2021-02-25,1337,1610,2387
2021-02-26,1414,1715,2527
2021-02-27,1428,1729,2562
2021-02-28,1428,1736,2569
2021-03-01,1533,1841,2744
2021-03-02,1680,1995,2961
2021-03-03,1834,2163,3255
2021-03-04,1967,2366,3570
2021-03-05,2093,2576,3934
2021-03-06,2100,2611,3976
2021-03-07,2107,2625,3990
2021-03-08,2233,2989,4480
2021-03-09,2492,3430,4991
2021-03-10,2863,4053,5670
2021-03-11,3367,4823,6419
2021-03-12,4067,5488,7126
2021-03-13,4214,5628,7224
2021-03-14,4270,5677,7245
2021-03-15,5264,6671,8113
2021-03-16,6559,7854,8855
2021-03-17,8260,9065,9639
2021-03-18,9632,10136,10346
2021-03-19,10934,11137,10969
2021-03-20,11242,11375,11116
2021-03-21,11375,11473,11193
2021-03-22,12768,12383,11802
2021-03-23,14336,13608,12565
2021-03-24,15617,14511,13118
2021-03-25,16534,15218,13566
2021-03-26,17297,15764,13923
2021-03-27,17416,15806,13944
2021-03-28,17458,15841,13972
2021-03-29,17990,16303,14280
2021-03-30,18445,16786,14574
2021-03-31,18942,17206,14882
2021-04-01,19397,17549,15162
2021-04-02,19460,17598,15183
2021-04-03,19502,17640,15197
2021-04-04,19551,17675,15211
2021-04-05,19579,17696,15218
2021-04-06,20188,18172,15456
2021-04-07,20685,18508,15610
2021-04-08,21161,18809,15806
2021-04-09,21567,19047,15925
2021-04-10,21595,19068,15960
2021-04-11,21602,19089,15960
2021-04-12,21994,19299,16128
2021-04-13,22386,19670,16324
2021-04-14,22757,19901,16541
2021-04-15,23072,20146,16688
2021-04-16,23352,20328,16807
2021-04-17,23380,20356,16814
2021-04-18,23380,20363,16821
2021-04-19,23597,20552,16940
2021-04-20,24003,20811,17157
2021-04-21,24185,21021,17283
2021-04-22,24395,21224,17381
2021-04-23,24584,21371,17486
2021-04-24,24598,21378,17486
2021-04-25,24619,21392,17493
2021-04-26,24871,21560,17654
2021-04-27,25116,21742,17850
2021-04-28,25242,21889,17934
2021-04-29,25529,22183,18088
2021-04-30,25767,22372,18263
2021-05-01,25774,22379,18270
2021-05-02,25788,22393,18277
2021-05-03,25809,22393,18284
2021-05-04,26075,22540,18389
2021-05-05,26474,22897,18543
2021-05-06,26656,23121,18620
2021-05-07,26908,23254,18711
2021-05-08,26929,23289,18739
2021-05-09,26929,23289,18746
2021-05-10,27202,23478,18865
2021-05-11,27608,23807,19061
2021-05-12,27811,24052,19166
2021-05-13,28049,24234,19271
2021-05-14,28280,24346,19327
2021-05-15,28308,24388,19341
2021-05-16,28329,24409,19355
2021-05-17,28658,24787,19544
2021-05-18,28847,24969,19642
2021-05-19,29113,25074,19726
2021-05-20,29274,25207,19873
2021-05-21,29428,25410,19971
2021-05-22,29540,25459,19985
2021-05-23,29540,25459,19985
2021-05-24,29554,25466,19992
total,1816822,1625365,1237145
