,8,9,10,11,12
2021-04-25,595,707,896,1169,3234
2021-04-26,588,707,889,1155,3220
2021-04-27,581,700,882,1141,3199
2021-04-28,581,686,875,1127,3185
2021-04-29,574,686,868,1113,3164
2021-04-30,567,672,868,1113,3136
2021-05-01,560,672,854,1113,3136
2021-05-02,560,672,854,1113,3136
2021-05-03,560,672,854,1113,3136
2021-05-04,560,672,854,1099,3122
2021-05-05,553,665,854,1099,3115
2021-05-06,553,665,840,1092,3108
2021-05-07,539,651,840,1085,3087
2021-05-08,539,651,840,1085,3087
2021-05-09,539,651,840,1085,3087
2021-05-10,539,651,826,1071,3080
2021-05-11,532,651,826,1071,3066
2021-05-12,525,644,826,1071,3059
2021-05-13,518,637,812,1064,3045
2021-05-14,511,637,812,1057,3031
2021-05-15,511,637,805,1057,3031
2021-05-16,511,637,805,1057,3031
2021-05-17,511,630,805,1050,3017
2021-05-18,511,623,798,1043,2996
2021-05-19,504,616,784,1036,2989
2021-05-20,504,616,784,1036,2989
2021-05-21,504,609,784,1029,2982
2021-05-22,504,609,777,1029,2982
total,13622,21756,30212,44856,141463
