,5,6,7
2020-11-28,3114622,2804333,2152038
2020-11-29,3114622,2804326,2152031
2020-11-30,3114615,2804319,2152024
2020-12-01,3114594,2804312,2152017
2020-12-02,3114594,2804312,2152010
2020-12-03,3114594,2804305,2152010
2020-12-04,3114587,2804305,2152010
2020-12-05,3114587,2804305,2152010
2020-12-06,3114587,2804305,2152010
2020-12-07,3114580,2804298,2152010
2020-12-08,3114111,2803885,2151765
2020-12-09,3113369,2803108,2151219
2020-12-10,3112564,2802345,2150638
2020-12-11,3111647,2801512,2150043
2020-12-12,3110877,2800798,2149595
2020-12-13,3110366,2800357,2149259
2020-12-14,3109533,2799524,2148727
2020-12-15,3108007,2798019,2147789
2020-12-16,3106180,2796192,2146606
2020-12-17,3103849,2793917,2144961
2020-12-18,3101497,2791607,2143463
2020-12-19,3099579,2789661,2142091
2020-12-20,3097003,2786959,2140243
2020-12-21,3093776,2783725,2138087
2020-12-22,3090752,2780778,2136183
2020-12-23,3087343,2777383,2133880
2020-12-24,3085705,2775808,2132760
2020-12-25,3085691,2775801,2132753
2020-12-26,3085523,2775647,2132662
2020-12-27,3085082,2775206,2132389
2020-12-28,3084270,2774534,2131885
2020-12-29,3081750,2772210,2130233
2020-12-30,3076591,2767387,2126803
2020-12-31,3071698,2762781,2123828
2021-01-01,3070207,2761472,2122883
2021-01-02,3068506,2759897,2121805
2021-01-03,3067183,2758693,2121021
2021-01-04,3064586,2756327,2119523
2021-01-05,3059518,2751714,2116562
2021-01-06,3052840,2745421,2112208
2021-01-07,3043705,2736328,2106013
2021-01-08,3033730,2726374,2099314
2021-01-09,3025288,2718240,2093693
2021-01-10,3019849,2713172,2090410
2021-01-11,3012058,2705892,2085825
2021-01-12,3002615,2696680,2080113
2021-01-13,2992010,2686593,2073421
2021-01-14,2980544,2675484,2065973
2021-01-15,2967741,2663360,2057755
2021-01-16,2957514,2653574,2051175
2021-01-17,2950500,2646973,2046772
2021-01-18,2941610,2638566,2041165
2021-01-19,2931845,2629256,2034788
2021-01-20,2921226,2619148,2027998
2021-01-21,2909935,2608445,2020592
2021-01-22,2897636,2596762,2012332
2021-01-23,2887948,2587368,2005437
2021-01-24,2882222,2581768,2001265
2021-01-25,2875159,2574852,1996673
2021-01-26,2866948,2567166,1991206
2021-01-27,2858709,2559354,1985515
2021-01-28,2850358,2551542,1979572
2021-01-29,2841272,2542827,1972915
2021-01-30,2833992,2535729,1967308
2021-01-31,2828658,2530899,1962730
2021-02-01,2823436,2525894,1957704
2021-02-02,2817402,2520154,1951719
2021-02-03,2811074,2513763,1944768
2021-02-04,2804319,2507050,1937915
2021-02-05,2797403,2500155,1930831
2021-02-06,2790935,2493141,1924594
2021-02-07,2787540,2489039,1920912
2021-02-08,2783263,2484839,1917027
2021-02-09,2777908,2479722,1911252
2021-02-10,2772126,2473912,1903314
2021-02-11,2765749,2466688,1892282
2021-02-12,2757566,2457483,1876581
2021-02-13,2748732,2447564,1860180
2021-02-14,2743783,2441411,1850814
2021-02-15,2738078,2434712,1841812
2021-02-16,2728782,2422861,1823332
2021-02-17,2714299,2404234,1793442
2021-02-18,2699746,2385439,1766688
2021-02-19,2686803,2368912,1744988
2021-02-20,2673328,2352602,1724023
2021-02-21,2667658,2346820,1716344
2021-02-22,2660560,2338196,1705893
2021-02-23,2646546,2321221,1682814
2021-02-24,2627555,2297295,1640800
2021-02-25,2606198,2271486,1587922
2021-02-26,2585268,2244522,1525846
2021-02-27,2566480,2221961,1470574
2021-02-28,2557821,2213064,1434839
2021-03-01,2549547,2204853,1394414
2021-03-02,2540181,2194682,1344224
2021-03-03,2528435,2180276,1281658
2021-03-04,2510536,2159129,1201781
2021-03-05,2488311,2130051,1115100
2021-03-06,2466653,2097494,1025535
2021-03-07,2459611,2081884,978467
2021-03-08,2450665,2062886,919555
2021-03-09,2441159,2034382,865634
2021-03-10,2429063,1991640,811489
2021-03-11,2413866,1940547,761502
2021-03-12,2382583,1866893,701232
2021-03-13,2315313,1754347,624435
2021-03-14,2285801,1691529,586719
2021-03-15,2243976,1577247,543137
2021-03-16,2171701,1450505,504336
2021-03-17,2072497,1328138,471030
2021-03-18,1916537,1208522,439460
2021-03-19,1723113,1070902,403669
2021-03-20,1453095,918302,364126
2021-03-21,1351854,844655,348411
2021-03-22,1257865,781487,334306
2021-03-23,1166949,728112,321573
2021-03-24,1080149,680127,309351
2021-03-25,992040,635635,297213
2021-03-26,900004,587272,285096
2021-03-27,785288,533218,271278
2021-03-28,731584,505092,265111
2021-03-29,687596,482748,259252
2021-03-30,649768,464086,253848
2021-03-31,612857,445130,248682
2021-04-01,598227,432012,245427
2021-04-02,590275,423087,243754
2021-04-03,579964,412972,241710
2021-04-04,576464,408919,240968
2021-04-05,574672,406805,240513
2021-04-06,568911,402353,238973
2021-04-07,562079,397915,237097
2021-04-08,556101,394093,235298
2021-04-09,548478,389452,233429
2021-04-10,540988,385329,231889
2021-04-11,537684,383754,231196
2021-04-12,534779,382102,230356
2021-04-13,531979,380268,229404
2021-04-14,529116,378525,228445
2021-04-15,526183,376712,227528
2021-04-16,523271,374955,226681
2021-04-17,520492,373387,225953
2021-04-18,519148,372673,225659
2021-04-19,517531,371490,225015
2021-04-20,515536,370307,224231
2021-04-21,513450,368914,223468
2021-04-22,511182,367514,222768
2021-04-23,508697,366107,222019
2021-04-24,506457,364791,221438
2021-04-25,505393,364196,221158
