,decline_per_1000_vacc
0-<10,777
10-<20,758
20-<30,382
30-<40,195
40-<50,106
50-<60,62
60-<70,66
70-<80,46
80-<90,19
90-<100,14
100-<200,84
200-<300,10
300-<1000,7
