decline_per_1000_binned,<750,"<1,000","<1,250","<1,500","<1,750","<2,000","<2,250","<2,500","<2,750","<3,000","<3,250","<3,500","<3,750","<4,000","<4,330","<4,660","<5,000","<5,330","<5,660","<6,000","<6,500","<7,000","<8,000",<10k,>=10k
0,10.0,7.0,15.0,16.0,8.0,25.0,12.0,10.0,15.0,12.0,19.0,11.0,14.0,21.0,16.0,19.0,15.0,8.0,13.0,18.0,16.0,12.0,18.0,14.0,13.0
5,8.0,5.0,7.0,12.0,11.0,18.0,20.0,16.0,17.0,20.0,29.0,31.0,22.0,25.0,36.0,16.0,31.0,23.0,20.0,15.0,31.0,22.0,19.0,27.0,19.0
10,2.0,2.0,11.0,13.0,20.0,25.0,19.0,19.0,22.0,20.0,17.0,17.0,24.0,20.0,17.0,32.0,28.0,23.0,15.0,18.0,21.0,18.0,27.0,26.0,18.0
15,,2.0,6.0,18.0,17.0,13.0,16.0,14.0,16.0,13.0,14.0,15.0,20.0,20.0,15.0,11.0,13.0,17.0,16.0,6.0,11.0,9.0,15.0,12.0,8.0
20,4.0,10.0,9.0,9.0,12.0,13.0,11.0,15.0,12.0,5.0,12.0,10.0,11.0,11.0,10.0,9.0,8.0,7.0,11.0,11.0,6.0,7.0,7.0,6.0,6.0
25,2.0,,7.0,8.0,8.0,9.0,5.0,2.0,10.0,7.0,6.0,7.0,4.0,4.0,12.0,4.0,8.0,6.0,2.0,2.0,6.0,2.0,2.0,7.0,2.0
30,2.0,5.0,11.0,5.0,8.0,5.0,9.0,8.0,2.0,8.0,2.0,2.0,2.0,5.0,10.0,2.0,2.0,4.0,5.0,,4.0,4.0,2.0,2.0,2.0
35,,7.0,2.0,5.0,2.0,2.0,2.0,7.0,2.0,2.0,4.0,2.0,5.0,2.0,4.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
40,4.0,6.0,4.0,6.0,6.0,6.0,4.0,7.0,4.0,2.0,5.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0
50,,6.0,4.0,6.0,4.0,8.0,6.0,9.0,2.0,5.0,6.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
60,6.0,5.0,13.0,9.0,6.0,5.0,6.0,12.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,5.0,2.0,2.0,,2.0,2.0,,,2.0
100,2.0,4.0,6.0,7.0,4.0,6.0,7.0,2.0,2.0,5.0,2.0,,2.0,2.0,,,,2.0,2.0,,2.0,,2.0,,
